37.214.61.69 - - [13/Aug/2023:02:55:13 +0300] "GET /cabinet/js/utils.js HTTP/1.1" 200 233928 "https://coolgeorgia.com/page/excursion-in-kazbeg.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Mobile/15E148 Safari/604.1"
66.249.66.44 - - [13/Aug/2023:02:55:18 +0300] "GET /en/page/wedding-in-tbilisi-3days.html HTTP/1.1" 200 30578 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.5735.179 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
37.214.61.69 - - [13/Aug/2023:02:55:18 +0300] "GET /favicon.ico HTTP/1.1" 200 1150 "https://coolgeorgia.com/page/excursion-in-kazbeg.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Mobile/15E148 Safari/604.1"
127.0.0.1 - - [13/Aug/2023:03:01:03 +0300] "GET /.well-known/acme-challenge/dfypoddvyh HTTP/1.1" 200 10 "-" "Go-http-client/1.1"
127.0.0.1 - - [13/Aug/2023:03:01:03 +0300] "GET /.well-known/acme-challenge/zmgdvsylzs HTTP/1.1" 200 10 "-" "Go-http-client/1.1"
141.95.31.162 - - [13/Aug/2023:03:05:05 +0300] "GET / HTTP/1.1" 403 93 "-" "python-requests/2.27.1"
54.36.149.36 - - [13/Aug/2023:03:05:28 +0300] "GET /en/page/contacts.html HTTP/1.1" 200 14430 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
216.173.110.125 - - [13/Aug/2023:03:08:41 +0300] "GET /images/excoursions/tour_5days_Gudauri_0_500x530.png HTTP/1.1" 200 433422 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.111 Safari/537.36"
206.232.0.8 - - [13/Aug/2023:03:34:54 +0300] "GET / HTTP/1.1" 200 29879 "https://www.facebook.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
54.36.148.241 - - [13/Aug/2023:03:36:42 +0300] "GET /en/page/about-us.html HTTP/1.1" 200 28079 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
40.77.167.124 - - [13/Aug/2023:03:41:19 +0300] "GET /page/reviews.php HTTP/1.1" 200 172788 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36"
173.252.83.120 - - [13/Aug/2023:03:43:44 +0300] "GET /images/excoursions/armenia/new_ex_Armenia_4_500x300.png HTTP/1.1" 200 273815 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)"
54.36.148.89 - - [13/Aug/2023:04:07:04 +0300] "GET /page/to-partners.html HTTP/1.1" 200 28147 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
185.112.167.208 - - [13/Aug/2023:04:08:06 +0300] "GET /images/wedding/wed_3_500x300.jpg HTTP/1.1" 200 56701 "https://www.google.ru/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1"
127.0.0.1 - - [13/Aug/2023:04:10:01 +0300] "GET /.well-known/acme-challenge/ulzwavrfik HTTP/1.1" 200 10 "-" "Go-http-client/1.1"
127.0.0.1 - - [13/Aug/2023:04:10:01 +0300] "GET /.well-known/acme-challenge/mhsuihcrhk HTTP/1.1" 200 10 "-" "Go-http-client/1.1"
66.249.66.44 - - [13/Aug/2023:04:13:16 +0300] "GET /images/tours/tour_8days_tbilisi_500x300.jpg HTTP/1.1" 200 67152 "-" "Googlebot-Image/1.0"
95.108.213.132 - - [13/Aug/2023:04:32:32 +0300] "GET /robots.txt HTTP/1.1" 404 196 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
