127.0.0.1 - - [09/Aug/2023:02:03:15 +0300] "GET /.well-known/acme-challenge/hzpxvaistd HTTP/1.1" 200 10 "-" "Go-http-client/1.1"
127.0.0.1 - - [09/Aug/2023:02:03:15 +0300] "GET /.well-known/acme-challenge/hmmfqmomrz HTTP/1.1" 200 10 "-" "Go-http-client/1.1"
167.71.28.115 - - [09/Aug/2023:02:07:48 +0300] "GET /page/excursion-in-tbilisi.html HTTP/1.1" 200 29020 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
65.108.2.171 - - [09/Aug/2023:02:23:00 +0300] "GET /robots.txt HTTP/1.1" 404 196 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
65.108.2.171 - - [09/Aug/2023:02:23:02 +0300] "GET /en/page/restaurants.php HTTP/1.1" 403 93 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
66.249.66.168 - - [09/Aug/2023:02:31:36 +0300] "GET /robots.txt HTTP/1.1" 404 196 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.202 - - [09/Aug/2023:02:31:36 +0300] "GET /en/page/tour-borjomi-vardzia-4-days.html HTTP/1.1" 200 32522 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
40.77.167.201 - - [09/Aug/2023:02:38:21 +0300] "GET /cabinet/page/order.php?CardID=10 HTTP/1.1" 200 22529 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36"
37.27.9.62 - - [09/Aug/2023:02:40:29 +0300] "GET / HTTP/1.1" 200 29879 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
37.27.9.62 - - [09/Aug/2023:02:40:29 +0300] "GET / HTTP/1.1" 200 29879 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
37.27.9.62 - - [09/Aug/2023:02:40:29 +0300] "GET /wp-includes/wlwmanifest.xml HTTP/1.1" 404 196 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
37.27.9.62 - - [09/Aug/2023:02:40:30 +0300] "GET / HTTP/1.1" 200 29879 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
37.27.9.62 - - [09/Aug/2023:02:40:30 +0300] "GET /blog/wp-includes/wlwmanifest.xml HTTP/1.1" 404 196 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
